"Rank_1";"Rank_2";"Rank_3";"Rank_4";"Rank_5";"Rank_6";"Rank_7";"Rank_8";"Rank_9";"Rank_10";"Rank_11";"Rank_12"
7;4;8;1;5;9;3;11;2;6;10;12
7;4;5;1;2;8;12;6;10;9;3;11
7;5;9;1;4;6;12;2;10;8;3;11
4;9;5;6;1;2;10;12;7;8;11;3
7;5;1;4;9;6;12;8;2;3;11;10
7;9;4;5;12;1;8;10;2;11;3;6
7;5;9;2;12;10;4;1;6;8;3;11
4;7;8;1;12;9;5;6;3;11;10;2
7;9;4;5;10;2;1;6;11;3;8;12
9;5;7;6;1;4;12;2;10;8;3;11
5;7;9;2;3;10;4;8;1;11;6;12
7;5;4;1;12;6;9;2;10;8;3;11
7;5;9;4;1;6;12;8;2;10;3;11
4;7;12;9;5;8;2;1;6;10;3;11
7;5;4;1;8;6;2;3;9;10;12;11
4;12;7;5;9;1;6;8;2;10;3;11
7;9;5;10;2;4;1;8;12;6;3;11
4;7;5;9;2;3;8;11;10;1;12;6
4;1;7;9;5;8;10;2;11;3;12;6
5;7;4;9;1;12;3;11;6;8;10;2
5;7;4;9;3;8;2;10;12;11;1;6
